#meta full request: /calibration/alert/ahdc/time_offsets:21417:default:2025-04-11_12-22-13
#meta variation: default
#meta created: 2025-04-11 12:22:13
#meta run range: 21417 - inf.
#meta author: mpaolone

# Sector Layer Component t0 dt0 extra1 extra2 chi2ndf

#& sector layer component t0 dt0 extra1 extra2 chi2ndf
1 32 2 224.8759 18.2546 0.0 0.0 1.36
1 32 3 221.3048 15.3593 0.0 0.0 1.79
1 32 4 223.9738 17.9797 0.0 0.0 1.69
1 32 5 240.5296 19.4719 0.0 0.0 1.59
1 32 6 236.2587 19.6558 0.0 0.0 1.29
1 32 7 240.0774 20.5203 0.0 0.0 1.51
1 32 8 234.0559 19.6876 0.0 0.0 1.32
1 32 9 223.9639 16.8975 0.0 0.0 1.96
1 32 10 222.7263 16.9626 0.0 0.0 1.82
1 32 11 221.2702 16.4662 0.0 0.0 1.72
1 32 12 222.8268 18.3326 0.0 0.0 1.61
1 32 13 222.8268 0.0000 0.0 0.0 0.00
1 32 14 221.0298 17.2996 0.0 0.0 1.26
1 32 15 224.1328 17.5418 0.0 0.0 1.60
1 32 16 224.4612 18.4757 0.0 0.0 1.45
1 32 17 222.3727 17.3426 0.0 0.0 1.88
1 32 18 224.5719 18.3212 0.0 0.0 1.83
1 32 19 220.0174 16.7205 0.0 0.0 1.73
1 32 20 220.7926 16.2556 0.0 0.0 1.92
1 32 21 221.9209 17.5330 0.0 0.0 2.23
1 32 22 220.3753 17.7562 0.0 0.0 1.59
1 32 23 221.5539 16.8266 0.0 0.0 1.83
1 32 24 221.4658 16.6897 0.0 0.0 1.80
1 32 25 218.311 14.5746 0.0 0.0 1.70
1 32 26 222.1155 16.3797 0.0 0.0 1.68
1 32 27 219.3794 16.3828 0.0 0.0 1.72
1 32 28 221.5457 16.8957 0.0 0.0 1.41
1 32 29 226.4613 17.3488 0.0 0.0 1.93
1 32 30 226.0762 17.1280 0.0 0.0 1.87
1 32 31 226.1699 17.2268 0.0 0.0 1.75
1 32 32 227.2229 17.8877 0.0 0.0 1.65
1 32 33 224.1377 16.4072 0.0 0.0 1.80
1 32 34 224.5892 16.9871 0.0 0.0 1.34
1 32 35 227.7011 17.8936 0.0 0.0 1.68
1 32 36 225.405 17.8413 0.0 0.0 1.56
1 32 37 227.9857 17.9604 0.0 0.0 1.59
1 32 38 227.2913 16.8957 0.0 0.0 1.74
1 32 39 228.754 18.4367 0.0 0.0 1.41
1 32 40 225.6571 17.9609 0.0 0.0 1.49
1 32 41 220.1135 15.4952 0.0 0.0 1.45
1 32 42 225.1382 18.0176 0.0 0.0 1.50
1 32 43 223.2506 17.9606 0.0 0.0 1.63
1 32 44 223.306 17.2853 0.0 0.0 1.38
1 32 45 225.2104 15.4634 0.0 0.0 1.49
1 32 46 227.2314 17.3147 0.0 0.0 1.76
1 32 47 228.4601 17.7716 0.0 0.0 1.36
1 32 48 227.6713 18.0509 0.0 0.0 1.44
1 32 49 226.2392 17.2996 0.0 0.0 1.52
1 32 50 226.7743 17.9519 0.0 0.0 1.39
1 32 51 227.6196 18.1542 0.0 0.0 1.67
1 32 52 226.0342 19.7526 0.0 0.0 1.86
1 32 53 228.5603 18.7284 0.0 0.0 1.34
1 32 54 224.7136 18.0144 0.0 0.0 1.84
1 32 55 226.9359 19.0928 0.0 0.0 1.48
1 32 56 226.8712 18.3928 0.0 0.0 1.53
